,name,Accuracy,geometry,Latitude,Longitude,KdNT,Hustu,PIN,PAR,MAN,PNP,FOL-PAN,MFK,PS,MKP,MP,totalkiezers,total,pctKiezers,randNumCol,area,invarea,bario,winner
77,St. Joris College,good,POINT (-68.94482156 12.15968138),12.15968138,-68.94482156,140,67,82,270,277,35,42,245,41,35,65,1299.0,2010,63.56698031546551,4,2202.7185950001244,4539.844546052618,Stenen Koraal,MAN
10,Fatima College,good,POINT (-68.92674545 12.15199248),12.15199248,-68.92674545,112,81,85,304,302,34,11,260,77,32,76,1374.0,808,3521.2311557788944,4,1398.851330000067,7148.722516494674,Suffisant,PAR
13,Gouv. J.R. Laufferschool,good,POINT (-68.91816418 12.14721026),12.14721026,-68.91816418,70,33,36,202,132,27,6,112,34,22,43,717.0,1138,63.00527240773286,4,1398.851330000067,7148.722516494674,Suffisant,PAR
47,Prins Bernhard Kleuterschool,good,POINT (-68.92396509 12.14598166),12.14598166,-68.92396509,45,48,33,171,138,24,7,81,24,5,24,600.0,848,70.75471698113208,4,1398.851330000067,7148.722516494674,Suffisant,PAR
79,Stella Maris College,good,POINT (-68.92781356 12.14736469),12.14736469,-68.92781356,74,28,23,90,136,24,20,107,27,12,33,574.0,878,65.37585421412301,4,1398.851330000067,7148.722516494674,Suffisant,MAN
11,Frater Aurelio SBO,good,POINT (-68.92458758 12.10404499),12.10404499,-68.92458758,77,30,37,121,91,34,9,164,63,19,29,674.0,115,586.0869565217391,4,197.5847350000078,50611.19726683139,Pietermaai,MFK
72,Springplank,good,POINT (-68.92624462 12.10296725),12.10296725,-68.92624462,108,14,25,35,92,19,9,169,28,11,31,541.0,898,60.244988864142535,4,197.5847350000078,50611.19726683139,Pietermaai,MFK
12,Glorieux College,bad,POINT (-68.89505149 12.14953538),12.14953538,-68.89505149,61,63,85,291,211,49,29,181,61,24,46,1101.0,1591,69.00748885699895,4,4106.59560499983,2435.107072102468,Brievengat zone,PAR
36,Kolegio Sur Herman Joseph,good,POINT (-68.88738258 12.14903375),12.14903375,-68.88738258,75,16,32,70,109,26,28,204,57,20,44,681.0,1027,66.30963972736124,4,4106.59560499983,2435.107072102468,Brievengat zone,MFK
49,Prof. Dr. I.C. van Houteschool,good,POINT (-68.89453723 12.14709052),12.14709052,-68.89453723,64,34,47,94,173,27,17,145,50,19,31,701.0,1137,61.65347405452947,4,4106.59560499983,2435.107072102468,Brievengat zone,MAN
57,Sentro di Bario Brievengat,good,POINT (-68.89502873 12.14949405),12.14949405,-68.89502873,55,41,65,157,149,39,16,152,38,26,44,782.0,1127,69.38775510204081,4,4106.59560499983,2435.107072102468,Brievengat zone,PAR
67,Skol Basiko Immanuel,good,POINT (-68.89206881 12.15219405),12.15219405,-68.89206881,30,70,58,261,169,29,5,95,33,30,41,821.0,1179,69.63528413910093,4,4106.59560499983,2435.107072102468,Brievengat zone,PAR
70,Skol Preparatorio Immanuel,good,POINT (-68.89164985 12.15295435),12.15295435,-68.89164985,41,42,64,424,249,38,2,92,46,32,57,1087.0,1504,72.27393617021278,4,4106.59560499983,2435.107072102468,Brievengat zone,PAR
17,Johan van Walbeeck Kleuterschool,good,POINT (-68.89853204 12.12417421),12.12417421,-68.89853204,18,35,41,416,100,20,0,52,7,8,14,711.0,989,71.89079878665319,4,359.0853399999665,27848.53316484859,Mahaai,PAR
44,Michiel Martinus Romerschool,good,POINT (-68.90019614 12.12468555),12.12468555,-68.90019614,28,32,55,526,146,31,1,41,9,5,22,896.0,1225,73.14285714285714,4,359.0853399999665,27848.53316484859,Mahaai,PAR
50,Radulphus College,good,POINT (-68.89445843 12.12870686),12.12870686,-68.89445843,21,42,48,433,123,26,4,31,6,3,14,751.0,1028,73.0544747081712,4,2402.32664500043,4162.631264491599,Mahaai,PAR
18,Juan Pablo Duarteschool,good,POINT (-68.9365126 12.14141245),12.14141245,-68.9365126,124,58,39,139,182,46,22,304,78,24,63,1079.0,1716,63.122524235976655,4,1577.026474999909,6341.047635234264,Buena Vista zone,MFK
30,Kolegio Nechie Pieters,good,POINT (-68.93979609 12.14504001),12.14504001,-68.93979609,174,68,45,121,215,27,29,309,64,22,43,1117.0,1780,62.69712776175534,4,1577.026474999909,6341.047635234264,Buena Vista zone,MFK
48,Prinses Margrietschool,good,POINT (-68.94265621 12.14344589),12.14344589,-68.94265621,81,18,25,62,121,21,11,137,34,19,29,558.0,891,62.62626262626263,4,1577.026474999909,6341.047635234264,Buena Vista zone,MFK
58,Sentro di Bario Buena Vista,good,POINT (-68.93994224 12.14578818),12.14578818,-68.93994224,91,20,17,100,133,25,3,131,19,18,31,588.0,868,67.74193548387096,4,1577.026474999909,6341.047635234264,Buena Vista zone,MAN
19,Kol. Mgr. J. Henriquez (Giovanni),good,POINT (-68.82498096 12.09069334),12.09069334,-68.82498096,77,27,33,98,149,32,7,109,29,28,47,636.0,1044,60.91954022988506,4,5157.948150000786,1938.7554332042823,Seru Grandi,MAN
28,Kolegio Mgr. J. Henriquez (Girasol),good,POINT (-68.82498096 12.09069334),12.09069334,-68.82498096,97,21,34,59,149,39,7,151,78,27,56,718.0,1045,68.70813397129186,4,5157.948150000786,1938.7554332042823,Seru Grandi,MFK
20,Kolegio Alejandro Paula,good,POINT (-68.90691669 12.13883732),12.13883732,-68.90691669,31,26,34,384,119,31,4,63,14,7,16,729.0,977,74.61617195496417,4,2013.464189999763,4966.564615187508,Groot Kwartier,PAR
42,Marnix Kleuterschool,good,POINT (-68.91799478 12.14438535),12.14438535,-68.91799478,13,62,37,288,101,19,5,40,26,11,14,616.0,895,68.8268156424581,4,2013.464189999763,4966.564615187508,Groot Kwartier,PAR
21,Kolegio Annie Koenraad,good,POINT (-69.02892947 12.22673486),12.22673486,-69.02892947,71,39,48,98,202,19,3,210,35,21,65,811.0,1245,65.14056224899598,4,15987.870984999681,625.4741490835341,Tera Corá,MFK
64,Sentro di Bario Tera Kora,bad,POINT (-69.02818922 12.22832063),12.22832063,-69.02818922,23,25,46,205,157,17,5,57,33,14,18,600.0,872,68.80733944954129,4,15987.870984999681,625.4741490835341,Tera Corá,PAR
68,Skol Elis Juliana,good,POINT (-69.03025297 12.2269708),12.2269708,-69.03025297,79,24,52,58,181,19,2,215,26,11,47,714.0,1086,65.74585635359117,4,15987.870984999681,625.4741490835341,Tera Corá,MFK
22,Kolegio Bellefaas Martis,good,POINT (-68.87203914 12.12368566),12.12368566,-68.87203914,219,121,194,872,728,150,18,433,139,71,168,3113.0,4523,68.73945047175128,4,606.9984099999929,16474.507733883715,Santa Rosa,PAR
33,Kolegio San Martin de Porres,good,POINT (-68.87019955 12.12278973),12.12278973,-68.87019955,74,49,47,247,181,53,2,130,58,28,58,927.0,1374,67.46724890829694,4,606.9984099999929,16474.507733883715,Santa Rosa,PAR
51,Regina Pacis Bovenbouw,approx,POINT (-68.87164414 12.12428285),12.12428285,-68.87164414,50,32,54,184,195,39,7,163,46,20,60,850.0,1188,71.54882154882155,4,606.9984099999929,16474.507733883715,Santa Rosa,MAN
52,Regina Pacis Onderbouw,good,POINT (-68.87176551 12.12415888),12.12415888,-68.87176551,23,41,43,473,112,17,4,30,12,6,10,771.0,1072,71.92164179104478,4,606.9984099999929,16474.507733883715,Santa Rosa,PAR
63,Sentro di Bario Santa Rosa,good,POINT (-68.87113238 12.1229604),12.1229604,-68.87113238,55,35,62,280,220,66,4,139,52,13,35,961.0,1299,73.97998460354118,4,606.9984099999929,16474.507733883715,Santa Rosa,PAR
23,Kolegio Dodo Palm,good,POINT (-68.93636124 12.17393447),12.17393447,-68.93636124,358,41,33,83,187,35,42,408,93,28,58,1366.0,2218,61.56818833776665,4,1885.4678599998672,5303.723395211152,Fortuna,MFK
24,Kolegio Don Sarto,good,POINT (-69.1119117 12.27630329),12.27630329,-69.1119117,104,39,49,137,303,33,8,616,46,23,47,1405.0,2184,64.40056542097359,4,15152.656640000145,659.9502805073728,Soto,MFK
25,Kolegio Iris Bruyning,good,POINT (-68.87616393 12.14292501),12.14292501,-68.87616393,198,50,77,191,301,70,14,378,76,37,96,1488.0,2450,61.396277294296866,4,3976.0609650000424,2515.0519793400335,Bonam,MFK
26,Kolegio Iris Bruyning (Kleutersch.),good,POINT (-68.87616393 12.14292501),12.14292501,-68.87616393,160,115,113,743,505,79,17,315,112,62,128,2349.0,3432,68.83887333100998,4,3976.0609650000424,2515.0519793400335,Bonam,PAR
56,Sentro di Bario Bonam,good,POINT (-68.87694397 12.14241248),12.14241248,-68.87694397,104,30,43,167,213,34,12,185,43,50,47,928.0,1451,63.955892487939344,4,3976.0609650000424,2515.0519793400335,Bonam,MAN
29,Kolegio Mgr. Willem Ellis,good,POINT (-68.94970017 12.12211637),12.12211637,-68.94970017,77,18,24,50,116,18,6,219,23,18,41,610.0,978,62.372188139059304,4,507.0753700000512,19720.93418775002,Habaai,MFK
39,Maria College,good,POINT (-68.94803818 12.11895967),12.11895967,-68.94803818,40,23,23,136,96,14,6,108,36,13,27,522.0,819,63.73626373626373,4,507.0753700000512,19720.93418775002,Habaai,PAR
40,Maria Immaculata Lyceum,good,POINT (-68.94819624 12.12043892),12.12043892,-68.94819624,41,15,24,89,117,15,3,116,39,13,26,498.0,720,69.16666666666667,4,507.0753700000512,19720.93418775002,Habaai,MAN
31,Kolegio San Dominico,good,POINT (-68.84750828 12.10723238),12.10723238,-68.84750828,300,82,119,472,558,169,19,425,145,104,165,2558.0,3964,64.62516145868999,4,2992.189509999959,3342.0343085154846,Montaña Rey,MAN
41,Maris Stella VSBO,bad,POINT (-68.84929844 12.10606473),12.10606473,-68.84929844,23,22,64,582,145,31,3,46,3,15,16,950.0,1402,67.76034236804564,4,2992.189509999959,3342.0343085154846,Montaña Rey,PAR
45,Openbaar A.G.O.,good,POINT (-68.84837008 12.10690311),12.10690311,-68.84837008,189,72,104,488,361,113,9,284,75,44,85,1824.0,2624,69.56185068461761,4,2992.189509999959,3342.0343085154846,Montaña Rey,PAR
60,Sentro di Bario Montanja di Rey,good,POINT (-68.84876657 12.10512037),12.10512037,-68.84876657,106,31,71,167,211,60,4,166,32,42,58,948.0,1449,65.42443064182196,4,2992.189509999959,3342.0343085154846,Montaña Rey,MAN
32,Kolegio San Hose,good,POINT (-69.07308907 12.2878623),12.2878623,-69.07308907,144,36,75,131,564,50,7,541,56,34,68,1706.0,2516,67.73576989417742,4,7487.155910000037,1335.6206442347147,Barber,MAN
71,Skol Tekniko Joseph Civillis,good,POINT (-69.07176251 12.28795052),12.28795052,-69.07176251,74,19,17,34,191,22,7,231,41,16,22,674.0,1155,58.35497835497836,4,7487.155910000037,1335.6206442347147,Barber,MFK
34,Kolegio Santa Clara,good,POINT (-68.977667 12.14889268),12.14889268,-68.977667,116,41,99,317,322,63,11,376,72,25,94,1536.0,2439,62.677921824263294,4,14922.323884999947,670.1369087727742,Sint Michiel,MFK
55,Sentro di Bario Boca,good,POINT (-68.99977584 12.14350992),12.14350992,-68.99977584,58,9,23,106,116,25,2,282,21,8,13,663.0,966,68.63354037267081,4,14922.323884999947,670.1369087727742,Sint Michiel,MFK
35,Kolegio Santa Famia,good,POINT (-68.94002496 12.11385125),12.11385125,-68.94002496,87,47,70,198,175,39,19,247,55,21,45,1003.0,3348,36.136920893018456,4,1125.3866300001196,8885.835084071452,Domi,MFK
53,Scholengemeenschap O'banda,approx,POINT (-68.94675417 12.11127631),12.11127631,-68.94675417,52,29,46,186,130,27,3,145,30,25,34,707.0,1053,67.1415004748338,4,1125.3866300001196,8885.835084071452,Domi,PAR
43,Mgr. Nieuwindt College,good,POINT (-68.95215235 12.11187597),12.11187597,-68.95215235,98,40,58,242,206,36,9,267,62,32,45,1095.0,1669,65.61028803381103,4,147.21411499996708,67928.26897069099,Mundo Nobo,MFK
59,Sentro di Bario Janwe,bad,POINT (-68.89499355 12.10964138),12.10964138,-68.89499355,72,33,57,217,168,48,6,171,63,25,39,899.0,1392,64.58333333333334,4,3957.2805199996656,2526.9879022882224,Seru Lora,PAR
75,St. Franciscus College,good,POINT (-68.89490923 12.10750404),12.10750404,-68.89490923,80,64,74,766,248,40,3,110,35,22,31,1473.0,2126,70.31322648950399,4,3957.2805199996656,2526.9879022882224,Seru Lora,PAR
78,St. Margarethaschool,good,POINT (-68.89611082 12.10890327),12.10890327,-68.89611082,61,24,53,215,127,26,4,100,51,16,25,702.0,998,70.34068136272545,4,3957.2805199996656,2526.9879022882224,Seru Lora,PAR
61,Sentro di Bario San Willibrordo,bad,POINT (-69.06476882 12.21636167),12.21636167,-69.06476882,30,14,29,210,193,15,6,99,25,16,14,651.0,1084,60.05535055350554,4,19534.721189999902,511.9090210061017,St. Willibrordus,PAR
65,Sentro di Bario Westpunt,good,POINT (-69.15119902 12.37304516),12.37304516,-69.15119902,106,22,18,56,159,33,4,129,23,19,10,579.0,894,64.76510067114094,4,11391.289529999847,877.8637373463488,Westpunt,MAN
66,Sentro di Bario Wishi-Marchena,bad,POINT (-68.95497122 12.12839042),12.12839042,-68.95497122,116,28,37,64,148,43,18,238,34,9,38,773.0,132,585.6060606060606,4,291.44650500003075,34311.61406447109,Wishi,MFK
76,St. Ignatius College,good,POINT (-68.91521126 12.1454221),12.1454221,-68.91521126,63,51,32,165,165,32,7,91,42,24,32,704.0,1014,69.42800788954635,4,1699.6545350000963,5883.548564767271,Mon Repos,PAR
